iter	Passed	Remaining
0	0	322
1	0	309
2	0	282
3	1	272
4	1	265
5	1	262
6	1	256
7	2	253
8	2	250
9	2	247
10	2	250
11	3	249
12	3	248
13	3	254
14	3	253
15	4	252
16	4	254
17	4	253
18	4	253
19	5	252
20	5	253
21	5	252
22	5	251
23	6	250
24	6	250
25	6	251
26	6	250
27	7	249
28	7	247
29	7	248
30	7	247
31	8	246
32	8	244
33	8	243
34	8	243
35	9	242
36	9	241
37	9	241
38	9	240
39	9	239
40	10	240
41	10	240
42	10	239
43	10	238
44	11	238
45	11	237
46	11	238
47	12	238
48	12	238
49	12	237
50	12	237
51	12	236
52	13	236
53	13	236
54	13	236
55	13	235
56	14	235
57	14	234
58	14	235
59	14	234
60	15	235
61	15	235
62	15	234
63	16	234
64	16	234
65	16	233
66	16	233
67	16	231
68	17	231
69	17	231
70	17	230
71	17	230
72	18	229
73	18	229
74	18	229
75	18	228
76	19	228
77	19	227
78	19	227
79	19	227
80	19	226
81	20	226
82	20	225
83	20	225
84	20	223
85	21	223
86	21	221
87	21	221
88	21	221
89	21	220
90	22	220
91	22	219
92	22	219
93	22	219
94	22	219
95	23	218
96	23	218
97	23	218
98	23	217
99	24	217
100	24	217
101	24	215
102	24	215
103	24	214
104	25	214
105	25	214
106	25	213
107	25	213
108	26	212
109	26	212
110	26	212
111	26	211
112	26	211
113	27	211
114	27	210
115	27	210
116	27	210
117	28	210
118	28	209
119	28	209
120	28	209
121	29	208
122	29	207
123	29	207
124	29	207
125	29	206
126	30	206
127	30	205
128	30	205
129	30	205
130	30	205
131	31	204
132	31	204
133	31	204
134	31	204
135	32	204
136	32	203
137	32	203
138	32	202
139	33	202
140	33	202
141	33	202
142	33	201
143	33	201
144	34	201
145	34	201
146	34	201
147	34	200
148	35	201
149	35	200
150	35	200
151	35	200
152	36	199
153	36	199
154	36	199
155	36	199
156	37	199
157	37	198
158	37	198
159	37	198
160	38	198
161	38	197
162	38	197
163	38	197
164	38	196
165	39	196
166	39	196
167	39	196
168	39	195
169	39	195
170	40	194
171	40	194
172	40	194
173	40	194
174	41	194
175	41	194
176	41	194
177	42	194
178	42	193
179	42	193
180	42	192
181	42	192
182	42	191
183	43	191
184	43	191
185	43	191
186	43	191
187	44	190
188	44	190
189	44	190
190	44	189
191	45	189
192	45	189
193	45	189
194	45	188
195	45	188
196	46	188
197	46	188
198	46	188
199	46	187
200	47	187
201	47	187
202	47	187
203	47	186
204	48	186
205	48	186
206	48	186
207	48	185
208	49	185
209	49	185
210	49	185
211	49	185
212	50	184
213	50	184
214	50	184
215	50	184
216	51	184
217	51	184
218	51	183
219	51	183
220	51	183
221	52	183
222	52	183
223	52	183
224	53	182
225	53	182
226	53	182
227	53	182
228	54	182
229	54	181
230	54	181
231	54	181
232	55	181
233	55	180
234	55	180
235	55	180
236	55	180
237	56	179
238	56	179
239	56	179
240	56	179
241	57	178
242	57	178
243	57	178
244	57	178
245	58	178
246	58	178
247	58	178
248	59	178
249	59	177
250	59	177
251	59	177
252	60	177
253	60	176
254	60	176
255	60	176
256	60	176
257	61	175
258	61	175
259	61	175
260	62	177
261	62	177
262	63	177
263	63	176
264	63	176
265	63	176
266	64	176
267	64	175
268	64	175
269	64	175
270	65	175
271	65	174
272	65	174
273	65	174
274	66	174
275	66	173
276	66	173
277	66	173
278	67	173
279	67	173
280	67	172
281	67	172
282	67	172
283	68	171
284	68	171
285	68	171
286	68	171
287	69	170
288	69	170
289	69	170
290	69	170
291	70	169
292	70	169
293	70	169
294	70	169
295	71	169
296	71	168
297	71	168
298	71	168
299	71	167
300	72	167
301	72	167
302	72	167
303	72	166
304	73	166
305	73	166
306	73	166
307	73	165
308	74	165
309	74	165
310	74	165
311	74	164
312	75	164
313	75	164
314	75	164
315	75	164
316	76	163
317	76	163
318	76	163
319	76	163
320	76	162
321	77	162
322	77	162
323	77	162
324	77	161
325	78	161
326	78	161
327	78	161
328	78	160
329	79	160
330	79	160
331	79	159
332	79	159
333	79	159
334	80	159
335	80	158
336	80	158
337	80	158
338	81	158
339	81	157
340	81	157
341	81	157
342	82	157
343	82	156
344	82	156
345	82	156
346	82	156
347	83	155
348	83	155
349	83	155
350	83	155
351	84	154
352	84	154
353	84	154
354	84	154
355	85	153
356	85	153
357	85	153
358	85	153
359	86	152
360	86	152
361	86	152
362	86	152
363	86	151
364	87	151
365	87	151
366	87	151
367	87	150
368	88	150
369	88	150
370	88	150
371	88	149
372	89	149
373	89	149
374	89	149
375	89	149
376	90	148
377	90	148
378	90	148
379	90	147
380	90	147
381	91	147
382	91	147
383	91	147
384	91	146
385	92	146
386	92	146
387	92	146
388	92	145
389	93	145
390	93	145
391	93	145
392	93	144
393	94	144
394	94	144
395	94	144
396	94	143
397	95	143
398	95	143
399	95	143
400	95	142
401	95	142
402	96	142
403	96	142
404	96	141
405	96	141
406	97	141
407	97	141
408	97	141
409	97	140
410	98	140
411	98	140
412	98	140
413	98	139
414	99	139
415	99	139
416	99	139
417	99	138
418	100	138
419	100	138
420	100	138
421	100	138
422	101	137
423	101	137
424	101	137
425	101	137
426	102	136
427	102	136
428	102	136
429	102	136
430	102	135
431	103	135
432	103	135
433	103	135
434	103	134
435	104	134
436	104	134
437	104	134
438	104	134
439	105	133
440	105	133
441	105	133
442	105	133
443	106	132
444	106	132
445	106	132
446	106	132
447	107	132
448	107	131
449	107	131
450	107	131
451	108	131
452	108	130
453	108	130
454	108	130
455	109	130
456	109	129
457	109	129
458	109	129
459	109	129
460	110	128
461	110	128
462	110	128
463	110	128
464	111	127
465	111	127
466	111	127
467	111	127
468	112	126
469	112	126
470	112	126
471	112	126
472	112	125
473	113	125
474	113	125
475	113	125
476	113	124
477	114	124
478	114	124
479	114	124
480	114	123
481	115	123
482	115	123
483	115	123
484	115	122
485	115	122
486	116	122
487	116	122
488	116	122
489	117	121
490	117	121
491	117	121
492	117	121
493	118	121
494	118	120
495	118	120
496	118	120
497	119	120
498	119	119
499	119	119
500	119	119
501	120	119
502	120	118
503	120	118
504	120	118
505	121	118
506	121	118
507	121	117
508	121	117
509	122	117
510	122	117
511	122	116
512	122	116
513	122	116
514	123	116
515	123	115
516	123	115
517	123	115
518	124	115
519	124	114
520	124	114
521	124	114
522	125	114
523	125	113
524	125	113
525	125	113
526	126	113
527	126	112
528	126	112
529	126	112
530	126	112
531	127	111
532	127	111
533	127	111
534	127	111
535	128	110
536	128	110
537	128	110
538	128	110
539	129	109
540	129	109
541	129	109
542	129	109
543	130	109
544	130	108
545	130	108
546	130	108
547	131	108
548	131	107
549	131	107
550	131	107
551	131	107
552	132	106
553	132	106
554	132	106
555	132	106
556	133	105
557	133	105
