iter	Passed	Remaining
0	3	3486
1	3	1836
2	3	1287
3	4	1009
4	4	839
5	4	726
6	4	647
7	4	587
8	4	543
9	5	507
10	5	476
11	5	459
12	5	439
13	5	419
14	6	404
15	6	389
16	6	379
17	6	376
18	7	371
19	7	361
20	7	352
21	7	344
22	7	336
23	8	330
24	8	323
25	8	318
26	8	312
27	8	306
28	9	302
29	9	301
30	9	299
31	9	299
32	10	298
33	10	297
34	10	296
35	10	292
36	11	289
37	11	285
38	11	281
39	11	278
40	11	276
41	11	273
42	12	270
43	12	267
44	12	264
45	12	262
46	12	260
47	13	257
48	13	255
49	13	253
50	13	250
51	13	248
52	13	246
53	13	245
54	14	243
55	14	241
56	14	239
57	14	238
58	14	237
59	15	235
60	15	234
61	15	232
62	15	231
63	15	230
64	15	229
65	16	228
66	16	227
67	16	226
68	16	224
69	16	223
70	17	222
71	17	221
72	17	220
73	17	219
74	17	217
75	17	216
76	18	216
77	18	216
78	18	215
79	18	214
80	18	213
81	18	212
82	19	211
83	19	210
84	19	209
85	19	208
86	19	208
87	20	207
88	20	206
89	20	206
90	20	205
91	20	205
92	20	204
93	21	203
94	21	202
95	21	201
96	21	201
97	21	200
98	21	200
99	22	199
100	22	199
101	22	198
102	22	197
103	22	197
104	23	196
105	23	195
106	23	194
107	23	194
108	23	194
109	24	194
110	24	194
111	24	194
112	24	195
113	25	194
114	25	194
115	25	193
116	25	193
117	25	192
118	25	192
119	26	191
120	26	190
121	26	190
122	26	189
123	26	189
124	26	188
125	27	188
126	27	187
127	27	187
128	27	188
129	28	188
130	28	187
131	28	186
132	28	186
133	28	185
134	28	185
135	29	184
136	29	184
137	29	183
138	29	184
139	30	184
140	30	183
141	30	183
142	30	182
143	30	182
144	30	182
145	31	181
146	31	181
147	31	180
148	31	180
149	31	179
150	31	179
151	32	178
152	32	178
153	32	177
154	32	177
155	32	176
156	32	175
157	32	175
158	33	175
159	33	174
160	33	174
161	33	174
162	33	173
163	34	173
164	34	172
165	34	172
166	34	172
167	34	172
168	34	171
169	35	171
170	35	170
171	35	170
172	35	170
173	35	170
174	36	169
175	36	170
176	36	170
177	36	170
178	37	170
179	37	169
180	37	169
181	37	169
182	37	168
183	37	168
184	38	168
185	38	167
186	38	167
187	38	167
188	38	167
189	39	166
190	39	166
191	39	166
192	39	165
193	39	165
194	40	165
195	40	164
196	40	164
197	40	164
198	40	163
199	40	163
200	41	163
201	41	163
202	41	162
203	41	162
204	41	162
205	41	161
206	42	161
207	42	161
208	42	160
209	42	160
210	42	160
211	43	160
212	43	159
213	43	159
214	43	159
215	43	159
216	43	158
217	44	158
218	44	158
219	44	157
220	44	157
221	44	157
222	45	157
223	45	156
224	45	157
225	45	156
226	45	156
227	46	156
228	46	156
229	46	156
230	46	156
231	47	156
232	47	155
233	47	155
234	47	155
235	47	154
236	48	154
237	48	154
238	48	153
239	48	153
240	48	153
241	48	153
242	49	152
243	49	152
244	49	152
245	49	152
246	49	151
247	49	151
248	50	151
249	50	150
250	50	150
251	50	150
252	50	149
253	50	149
254	51	149
255	51	148
256	51	148
257	51	148
258	51	148
259	52	148
260	52	148
261	52	147
262	52	147
263	52	147
264	52	146
265	53	146
266	53	146
267	53	146
268	53	145
269	53	145
270	53	145
271	54	144
272	54	144
273	54	144
274	54	143
275	54	143
276	54	143
277	55	143
278	55	142
279	55	142
280	55	142
281	55	142
282	56	142
283	56	141
284	56	141
285	56	141
286	56	140
287	56	140
288	57	140
289	57	140
290	57	140
291	57	139
292	57	139
293	57	139
294	58	139
295	58	138
296	58	138
297	58	138
298	58	138
299	59	137
300	59	137
301	59	137
302	59	137
303	59	136
304	59	136
305	60	136
306	60	136
307	60	135
308	60	135
309	60	135
310	60	135
311	61	134
312	61	134
313	61	134
314	61	134
315	61	134
316	62	133
317	62	133
318	62	133
319	62	133
320	62	132
321	62	132
322	63	132
323	63	132
324	63	131
325	63	131
326	63	131
327	64	131
328	64	131
329	64	130
330	64	130
331	64	130
332	65	130
333	65	130
334	65	129
335	65	129
336	65	129
337	65	129
338	66	128
339	66	128
340	66	128
341	66	128
342	66	128
343	67	127
344	67	127
345	67	127
346	67	127
347	67	127
348	67	126
349	68	126
350	68	126
351	68	126
352	68	125
353	68	125
354	68	125
355	69	124
356	69	124
357	69	124
358	69	124
359	69	123
360	69	123
361	70	123
362	70	123
363	70	123
364	70	122
365	70	122
366	70	122
367	71	122
368	71	121
369	71	121
370	71	121
371	71	121
372	72	121
373	72	120
374	72	120
375	72	120
376	72	120
377	72	119
378	73	119
379	73	119
380	73	119
381	73	119
382	73	118
383	73	118
384	74	118
385	74	118
386	74	117
387	74	117
388	74	117
389	74	117
390	74	116
391	75	116
392	75	116
393	75	116
394	75	115
395	75	115
396	75	115
397	76	115
398	76	114
399	76	114
400	76	114
401	76	114
402	76	114
403	77	113
404	77	113
405	77	113
406	77	113
407	78	113
408	78	113
409	78	113
410	78	113
411	79	112
412	79	112
413	79	112
414	79	112
415	79	111
416	79	111
417	80	111
418	80	111
419	80	111
420	80	110
421	80	110
422	81	110
423	81	110
424	81	110
425	81	109
426	81	109
427	81	109
428	82	109
429	82	108
430	82	108
431	82	108
432	82	108
433	83	108
434	83	108
435	83	107
436	83	107
437	83	107
438	83	107
439	84	107
440	84	106
441	84	106
442	84	106
443	84	106
444	84	106
445	85	105
446	85	105
447	85	105
448	85	105
449	85	104
450	86	104
451	86	104
452	86	104
453	86	104
454	86	103
455	86	103
456	86	103
457	87	103
458	87	102
459	87	102
460	87	102
461	87	102
462	87	101
463	87	101
464	88	101
465	88	101
466	88	101
467	88	100
468	88	100
469	89	100
470	89	100
471	89	100
472	89	99
473	89	99
474	89	99
475	90	99
476	90	99
477	90	98
478	90	98
479	90	98
480	91	98
481	91	98
482	91	97
483	91	97
484	91	97
485	92	97
486	92	97
487	92	96
488	92	96
489	92	96
490	93	96
491	93	96
492	93	96
493	93	96
494	94	95
495	94	95
496	94	95
497	94	95
498	94	95
499	94	94
500	95	94
501	95	94
502	95	94
503	95	94
504	95	93
505	96	93
506	96	93
507	96	93
508	96	93
509	96	92
510	96	92
511	97	92
512	97	92
513	97	92
514	97	91
515	97	91
516	97	91
517	98	91
518	98	91
519	98	90
520	98	90
521	98	90
522	99	90
523	99	90
524	99	90
525	99	89
526	99	89
527	100	89
528	100	89
529	100	89
530	100	88
531	100	88
532	100	88
533	101	88
534	101	88
535	101	87
536	101	87
537	101	87
538	102	87
539	102	87
540	102	86
541	102	86
542	102	86
543	102	86
544	102	85
545	103	85
546	103	85
547	103	85
548	103	85
549	103	84
550	104	84
551	104	84
552	104	84
553	104	84
554	104	84
555	105	83
556	105	83
557	105	83
558	105	83
559	105	83
560	105	82
561	106	82
562	106	82
563	106	82
564	106	82
565	106	81
566	106	81
567	106	81
568	107	81
569	107	80
570	107	80
571	107	80
572	107	80
573	108	80
574	108	80
575	108	79
576	108	79
577	108	79
578	109	79
579	109	79
580	109	78
581	109	78
582	109	78
583	109	78
584	110	78
585	110	77
586	110	77
587	110	77
588	110	77
589	110	77
590	111	76
591	111	76
592	111	76
593	111	76
594	111	76
595	112	75
596	112	75
597	112	75
598	112	75
599	112	75
600	112	74
601	113	74
602	113	74
603	113	74
604	113	74
605	113	73
606	113	73
607	114	73
608	114	73
609	114	73
610	114	73
611	114	72
612	115	72
613	115	72
614	115	72
615	115	72
616	115	71
617	116	71
618	116	71
619	116	71
620	116	71
621	116	70
622	116	70
623	116	70
624	117	70
625	117	70
626	117	69
627	117	69
628	117	69
629	117	69
630	118	69
631	118	68
632	118	68
633	118	68
634	118	68
635	118	68
636	119	67
637	119	67
638	119	67
639	119	67
640	119	67
641	119	66
642	120	66
643	120	66
644	120	66
645	120	66
646	120	65
647	120	65
648	121	65
649	121	65
650	121	65
651	121	64
652	121	64
653	121	64
654	122	64
655	122	64
656	122	63
657	122	63
658	122	63
659	123	63
660	123	63
661	123	63
662	123	62
663	123	62
664	123	62
665	124	62
666	124	62
667	124	61
668	124	61
669	124	61
670	124	61
671	125	61
672	125	60
673	125	60
674	125	60
675	125	60
676	125	60
677	126	59
678	126	59
679	126	59
680	126	59
681	126	59
682	126	58
683	127	58
684	127	58
685	127	58
686	127	58
687	127	57
688	127	57
689	128	57
690	128	57
691	128	57
692	128	57
693	128	56
694	129	56
695	129	56
696	129	56
697	129	56
698	129	55
699	129	55
700	130	55
701	130	55
702	130	55
703	130	54
704	130	54
705	131	54
706	131	54
707	131	54
708	131	53
709	131	53
710	131	53
711	131	53
712	132	53
713	132	52
714	132	52
715	132	52
716	132	52
717	132	52
718	133	52
719	133	51
720	133	51
721	133	51
722	133	51
723	133	51
724	134	50
725	134	50
726	134	50
727	134	50
728	134	50
729	134	49
730	135	49
731	135	49
732	135	49
733	135	49
734	135	48
735	136	49
736	136	48
737	137	48
738	137	48
739	137	48
740	137	48
741	137	47
742	137	47
743	138	47
744	138	47
745	138	47
746	138	46
747	138	46
748	138	46
749	139	46
750	139	46
751	139	45
752	139	45
753	139	45
754	139	45
755	140	45
756	140	45
757	140	44
758	140	44
759	140	44
760	140	44
761	141	44
762	141	43
763	141	43
764	141	43
765	141	43
766	141	43
767	142	42
768	142	42
769	142	42
770	142	42
771	142	42
772	142	41
773	143	41
774	143	41
775	143	41
776	143	41
777	143	41
778	143	40
779	144	40
780	144	40
781	144	40
782	144	40
783	144	39
784	145	39
785	145	39
786	145	39
787	145	39
788	145	38
789	145	38
790	146	38
791	146	38
792	146	38
793	146	38
794	146	37
795	147	37
796	147	37
797	147	37
798	147	37
799	147	36
800	147	36
801	148	36
802	148	36
803	148	36
804	148	35
805	148	35
806	148	35
807	149	35
808	149	35
809	149	35
810	149	34
811	149	34
812	150	34
813	150	34
814	150	34
815	150	34
816	151	33
817	151	33
818	151	33
819	151	33
820	151	33
821	152	32
822	152	32
823	153	32
824	153	32
825	153	32
826	153	32
827	153	31
828	153	31
829	154	31
830	154	31
831	154	31
832	154	30
833	154	30
834	154	30
835	155	30
836	155	30
837	155	30
838	155	29
839	155	29
840	155	29
841	156	29
842	156	29
843	156	28
844	156	28
845	156	28
846	156	28
847	157	28
848	157	27
849	157	27
850	157	27
